fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3956.0,200607.0,0.7768,-5.5367,-2.9042,-2.4477,-3.3359,-1.9166,-1.207,-2.21,0.24
3956.0,200608.0,2.5228,3.048,2.1068,1.673,2.6322,1.7365,1.8825,-3.47,1.75
3956.0,200609.0,1.162,-0.3241,0.9682,1.3747,2.3291,1.6582,1.488,-0.94,0.73
3956.0,200610.0,4.527,6.058,5.4885,4.1566,3.8499,3.9121,3.7653,-0.24,-0.24
3956.0,200611.0,5.4945,2.9975,2.0952,2.5843,3.3352,3.1199,3.2205,-1.01,-0.97
3956.0,200612.0,-0.2451,0.2429,1.3376,2.7032,-0.5203,0.8296,1.8883,0.84,2.38
3956.0,200701.0,4.2998,2.7413,1.0795,2.8028,3.277,2.9886,2.0238,0.21,1.06
3956.0,200702.0,-0.0589,0.3866,-0.2706,0.6739,-0.3279,0.496,0.3281,-1.35,0.25
3956.0,200703.0,2.1803,0.5509,0.367,-0.3604,0.9033,1.2564,1.3292,2.49,-2.04
3956.0,200704.0,3.8639,3.1558,1.001,1.4512,4.2856,4.0503,3.4694,-0.16,-0.3
3956.0,200705.0,4.8306,2.105,2.5936,1.3859,4.1839,4.0567,3.5893,-0.26,-1.13
3956.0,200706.0,-1.3771,-0.4355,-0.9301,-0.0795,-1.4113,-1.7168,-1.9243,0.38,-0.84
3956.0,200707.0,-0.3759,-4.978,-5.3544,-5.2254,-2.4321,-4.29,-6.6082,2.8,-3.38
3956.0,200708.0,2.8571,-0.7127,0.2377,-2.7707,1.0482,0.137,-2.2502,0.11,-2.64
3956.0,200709.0,7.0755,2.5024,0.8752,0.0161,3.5944,2.5882,2.1457,4.59,0.3
3956.0,200710.0,6.4611,2.8415,0.4154,-0.7853,2.4906,2.3195,-0.0124,4.96,-3.89
3956.0,200711.0,-2.7586,-9.342,-8.4987,-8.9706,-4.5478,-5.3704,-6.4426,0.93,-1.71
3956.0,200712.0,0.8038,-0.8865,-1.4183,-2.3611,-1.4561,-0.8702,-1.7018,6.52,-2.05
3956.0,200801.0,-10.8818,-7.2508,-4.6648,-3.2213,-6.2359,-4.3762,-3.105,-7.89,6.97
3956.0,200802.0,-3.1053,-3.4134,-2.5795,-2.926,-1.719,-2.3694,-4.9155,6.14,5.03
3956.0,200803.0,-1.7925,-3.1219,-1.1112,-2.3392,-1.4741,-2.5499,-2.6049,4.1,-0.26
3956.0,200804.0,6.25,3.1273,1.5295,0.1248,5.4858,7.3356,4.6557,-0.2,3.14
3956.0,200805.0,4.633,4.7787,3.9746,1.652,3.9141,3.4268,2.2108,3.21,-2.33
3956.0,200806.0,-7.2637,-8.1889,-9.5159,-10.2222,-9.0987,-9.7163,-13.9449,12.54,-7.16
3956.0,200807.0,-4.0773,1.7956,2.1623,0.9061,-1.1495,-2.5347,1.2698,-5.15,8.18
3956.0,200808.0,1.5101,1.3217,2.7272,3.5631,1.4156,1.6952,2.3581,-4.05,-0.75
3956.0,200809.0,-15.8678,-13.253,-9.5279,-9.454,-12.9526,-13.0807,-7.0192,0.35,-3.73
3956.0,200810.0,-15.7826,-23.275,-20.2556,-20.2984,-20.2397,-22.4124,-21.2587,7.79,-9.59
3956.0,200811.0,-10.0311,-14.4264,-14.4809,-16.1922,-9.7456,-9.7556,-11.2359,7.11,-10.1
3956.0,200812.0,2.8522,4.4194,4.752,0.1491,3.9977,4.1062,6.2719,-5.07,5.22
4495.0,200401.0,1.2987,7.4347,5.6141,9.6439,1.8648,2.3394,4.1918,2.6,2.29
4495.0,200402.0,1.7705,0.246,0.8748,1.1041,2.002,3.1512,2.4318,-1.09,1.46
4495.0,200403.0,0.12,0.0359,0.4323,0.8479,-0.0386,-0.5464,-0.5932,0.21,-2.15
4495.0,200404.0,-4.7933,-3.5323,-2.8962,-3.2722,-1.3912,-3.3782,-4.495,-5.39,-0.21
4495.0,200405.0,1.7621,-1.0464,-0.0485,-0.0668,1.6278,1.8244,2.6119,1.61,2.26
4495.0,200406.0,2.8448,2.0563,3.1269,2.9621,1.7195,2.6815,3.1206,2.1,0.3
4495.0,200407.0,-4.991,-10.7273,-5.2772,-4.0352,-6.2259,-3.6309,-2.3895,-2.29,-1.34
