fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
3937,201501,-1.3151,-2.746,-4.3387,-3.8753,-1.9822,-3.0606,-4.1574,3.87,-0.47,0,0,0,0,0,0,0,0
3937,201502,6.6634,7.2841,7.0884,4.9184,7.7542,7.496,5.8195,-2.84,3.61,0,0,0,0,0,0,0,0
3937,201503,0.1388,0.1998,0.2261,0.4395,-0.0826,-0.3752,-1.1619,2.98,-0.16,0,0,0,0,0,0,0,0
3937,201504,-0.878,-0.011,-0.8572,1.0378,-0.4237,0.7573,1.6668,-7.37,4.11,0,0,0,0,0,0,0,0
3937,201505,3.4033,1.3103,1.5692,-0.5727,1.4721,1.4979,-0.3604,6.01,2.64,0,0,0,0,0,0,0,0
3937,201506,-1.1271,1.7725,-0.0268,-0.0875,-1.4133,-2.1367,-2.5019,3.04,-3.51,0,0,0,0,0,0,0,0
3937,201507,2.4624,-2.1415,-3.9329,-5.2759,2.1719,-0.9758,-1.7963,10.28,-5.2,0,0,0,0,0,0,0,0
3937,201508,-7.0761,-7.4915,-4.0004,-1.5925,-6.5035,-4.6158,-5.2071,-2.07,1.64,0,0,0,0,0,0,0,0
3937,201509,-3.4004,-8.1679,-5.4658,-4.8122,-4.1098,-4.6727,-4.9421,5.32,-3.34,0,0,0,0,0,0,0,0
3937,201510,8.23,4.8166,5.4553,4.3989,6.2262,7.2314,5.3212,-3.97,0.88,0,0,0,0,0,0,0,0
3937,201511,1.0994,5.2917,2.0175,2.0833,0.9503,-0.4823,1.5197,2.28,0.02,0,0,0,0,0,0,0,0
3937,201512,2.0062,-4.8879,-5.0326,-5.1763,-2.2015,-4.226,-5.9517,3.44,1.06,0,0,0,0,0,0,0,0
3937,201601,-7.1429,-12.6937,-9.6057,-7.929,-8.3971,-5.9705,-8.565,1.37,-2.78,0,0,0,0,0,0,0,0
3937,201602,-2.0833,-0.778,1.378,-0.5906,1.3759,1.8052,-0.8554,-4.09,-0.74,0,0,0,0,0,0,0,0
3937,201603,6.4375,7.0497,8.2533,8.2204,6.778,9.1568,13.4578,-5.14,1.52,0,0,0,0,0,0,0,0
3937,201604,-1.1789,3.767,3.1839,5.2438,0.9051,2.4823,6.4891,-6.23,0.16,0,0,0,0,0,0,0,0
3937,201605,2.749,0.9958,0.6244,-0.7584,2.4096,0.9323,1.2869,1.94,0.14,0,0,0,0,0,0,0,0
3937,201606,-1.7163,-2.3322,-0.7117,1.7359,-0.8664,-0.6354,-3.1743,4.21,1.54,0,0,0,0,0,0,0,0
3937,201607,5.0334,5.8402,6.0885,6.4018,5.084,3.5835,4.6082,-3.06,4.46,0,0,0,0,0,0,0,0
3937,201608,-0.4401,0.9718,2.767,3.4496,0.2997,0.6195,2.1819,-3.11,-0.34,0,0,0,0,0,0,0,0
3937,201609,1.3752,4.9983,2.5463,1.8764,-0.1066,0.8081,0.6506,-0.55,0.09,0,0,0,0,0,0,0,0
3937,201610,-2.6647,-9.6114,-6.7332,-3.8473,-3.2981,-1.6866,-2.2328,0.65,2.7,0,0,0,0,0,0,0,0
3937,201611,0.1493,6.5506,10.2305,11.929,4.4373,7.404,12.2853,-4.22,-0.01,0,0,0,0,0,0,0,0
3937,201612,0.5264,-0.6901,2.565,4.4512,0.6549,1.4397,1.6994,-0.39,-1.05,0,0,0,0,0,0,0,0
3937,201701,5.3838,2.3268,0.5085,1.1191,3.3549,1.8839,1.5333,-0.97,3.39,0,0,0,0,0,0,0,0
3937,201702,3.6424,3.4229,1.6874,0.3129,3.8069,2.1723,2.4413,-1.65,-1.11,0,0,0,0,0,0,0,0
3937,201703,1.6887,1.3505,1.032,0.3507,0.689,-0.1914,-1.4823,-0.88,-0.98,0,0,0,0,0,0,0,0
3937,201704,2.693,0.9702,0.3093,-0.1253,1.9798,0.7714,-1.7642,0.51,-2.19,0,0,0,0,0,0,0,0
3937,201705,3.1906,-2.4478,-2.9979,-2.8881,1.9433,-0.5916,-2.4836,1.47,-3.59,0,0,0,0,0,0,0,0
3937,201706,-0.9742,6.0265,4.1818,4.027,1.3422,1.6843,2.9574,-0.25,4.01,0,0,0,0,0,0,0,0
3937,201707,3.2506,-1.2602,-0.5901,-0.4316,1.3758,1.3857,2.4558,1.63,2.06,0,0,0,0,0,0,0,0
