fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3931.0,,-0.5464,-1.25,-1.67,-1.43,-0.7,-0.63,-1.02,-0.43,-0.04
3931.0,,-1.0989,-0.55,-0.55,-0.83,-0.83,-0.92,-1.07,-0.28,0.37
3931.0,,0.5,0.46,0.54,0.22,0.59,0.44,0.1,-0.18,-0.09
3931.0,,0.8845,1.07,0.95,0.78,0.64,0.39,0.6,0.69,0.27
3931.0,,-0.6575,-1.5,-1.37,-0.96,-1.21,-0.89,-0.92,0.08,-0.04
3931.0,,0.9928,0.27,0.36,0.36,0.68,0.67,0.6,0.44,0.19
3931.0,,0.4915,1.22,0.92,0.48,0.62,0.4,0.38,0.06,0.38
3931.0,,0.7065,1.29,0.97,0.88,0.7,0.54,0.41,0.42,0.19
3931.0,,0.9174,1.64,1.4,1.01,0.83,0.6,0.6,0.49,0.15
3931.0,,-0.2139,-0.02,-0.24,-0.17,-0.39,-0.03,0.03,0.19,0.06
3931.0,,0.5359,0.31,0.28,0.37,0.6,0.52,0.58,0.26,0.09
3931.0,,-0.0533,-0.89,-0.37,-0.26,-0.08,-0.01,-0.09,-0.02,0.36
3931.0,,0.1067,-1.15,-0.57,-0.58,0.09,0.28,0.31,0.24,-0.12
3931.0,,-0.0533,-0.62,-0.5,-0.31,-0.11,0.1,0.07,0.19,-0.21
3931.0,,0.3731,0.31,0.21,0.18,0.39,0.3,0.71,0.35,-0.2
3931.0,,0.5842,2.26,1.88,1.51,0.84,0.85,0.75,-0.14,0.19
3931.0,,0.528,1.09,0.95,0.78,0.71,0.67,0.56,-0.22,0.08
3931.0,,0.105,1.69,0.78,0.9,0.32,0.17,0.22,-0.42,-0.44
3931.0,,0.1574,0.39,0.03,-0.07,-0.18,-0.19,-0.1,-0.14,-0.03
3931.0,,-0.1572,-0.15,-0.4,-0.36,-0.24,-0.36,-0.5,0.22,-0.14
3931.0,,-0.8919,-0.32,-0.4,-0.3,-0.75,-0.58,-0.49,-0.26,0.1
3931.0,,0.2118,0.38,0.03,-0.04,0.32,0.38,0.41,-0.08,0.07
3931.0,,0.3698,0.96,0.24,0.0,0.24,0.15,-0.07,0.1,-0.26
3931.0,,0.2632,0.9,0.81,0.87,0.65,0.43,1.02,-0.05,0.0
3931.0,,0.7349,0.35,0.54,0.45,0.66,0.63,0.69,0.09,0.1
3931.0,,0.0,-0.06,-0.03,-0.01,0.05,0.23,0.16,0.11,0.25
3931.0,,0.2084,0.03,0.31,0.37,0.22,0.19,0.12,0.36,-0.29
3931.0,,0.0,-0.16,-0.19,-0.38,0.03,-0.09,0.01,-0.16,-0.07
3931.0,,-0.728,-1.19,-0.93,-0.92,-0.67,-0.84,-0.9,-0.44,0.7
3931.0,,0.681,0.63,0.66,0.69,0.52,0.59,0.52,0.4,0.02
3931.0,,-0.052,-0.05,-0.12,-0.04,-0.13,-0.12,0.05,0.22,0.09
3931.0,,0.4164,0.83,0.78,0.77,0.4,0.45,0.22,-0.16,0.25
3931.0,,0.2074,0.26,0.23,0.35,0.23,0.38,0.37,0.12,-0.08
3931.0,,0.9829,1.16,1.19,0.94,0.77,0.7,0.41,0.22,0.17
3931.0,,0.0512,-0.11,-0.18,-0.14,-0.17,-0.34,-0.41,-0.07,0.45
3931.0,,0.6144,0.61,0.7,0.6,0.69,0.61,0.48,0.03,0.07
3931.0,,-0.8142,-2.26,-1.77,-1.21,-1.06,-0.87,-0.74,-0.16,0.77
3931.0,,-1.2314,-2.17,-1.16,-1.05,-1.24,-0.68,-0.6,-0.23,0.67
3931.0,,0.6753,0.06,0.1,0.12,0.5,0.3,0.33,0.31,-0.18
3931.0,,-0.5676,-1.17,-0.87,-0.9,-0.67,-0.52,-0.58,0.0,0.01
3931.0,,0.4152,0.31,-0.26,-0.02,-0.01,0.01,-0.09,0.12,0.35
3931.0,,0.6718,0.63,0.57,0.48,0.38,0.37,0.3,0.39,0.07
3931.0,,-0.3593,-1.72,-1.05,-0.72,-0.69,-0.25,-0.06,-0.51,0.17
3931.0,,0.3606,-0.29,-0.36,0.08,0.0,0.36,0.19,-0.14,-0.28
3931.0,,-1.386,-1.97,-1.44,-1.05,-1.26,-1.2,-1.31,-0.55,-0.19
3931.0,,1.5096,1.88,1.26,0.95,1.2,1.15,1.09,0.52,0.3
3931.0,,-0.2564,-0.27,-0.42,-0.28,-0.29,-0.21,-0.27,0.23,0.01
3931.0,,0.7198,0.9,0.97,0.5,0.66,0.65,0.31,0.28,-0.03
3931.0,,0.7147,0.65,-0.14,0.14,0.14,-0.03,-0.03,-0.19,0.32
3931.0,,0.2027,-0.14,-0.27,-0.26,0.37,0.09,0.24,-0.14,0.4
3931.0,,-0.5058,-0.89,-0.87,-0.44,-0.56,-0.59,-0.49,-0.23,-0.01
3931.0,,-0.1017,-0.95,-0.51,-0.23,-0.26,-0.19,-0.03,-0.23,-0.3
3931.0,,-0.4071,0.63,0.14,-0.19,0.03,-0.65,-0.59,-0.23,0.3
3931.0,,0.3066,0.67,0.49,0.42,0.38,0.07,-0.24,-0.13,-0.06
3931.0,,-2.3434,-2.3,-1.78,-1.35,-2.23,-1.96,-1.92,-0.68,-0.1
3931.0,,-0.3652,-0.96,-0.8,-0.54,-0.15,-0.24,-0.36,0.3,0.24
3931.0,,0.8901,0.82,0.58,0.32,0.88,0.72,0.5,0.55,0.21
3931.0,,-0.8822,-0.02,-0.04,-0.16,-0.48,-0.89,-0.73,-0.33,0.2
3931.0,,-0.2094,0.37,0.38,0.47,-0.01,-0.23,0.24,-0.56,0.25
3931.0,,-0.5247,-0.61,-0.76,-0.36,-0.37,-0.69,-0.45,0.1,0.16
3931.0,,0.9494,1.03,0.79,0.58,1.2,1.3,1.23,0.06,0.45
3931.0,,0.418,1.2,0.87,0.73,0.6,0.49,0.21,0.0,-0.16
3931.0,,-0.4162,-0.95,-0.72,-0.48,-0.43,-0.33,-0.14,-0.05,-0.22
3931.0,,0.9927,0.67,0.42,0.5,0.82,0.72,0.62,0.8,-0.04
3931.0,,0.4656,0.24,0.18,0.2,0.46,0.42,0.35,-0.32,-0.23
3931.0,,0.1545,-0.19,-0.18,-0.26,0.03,-0.03,-0.02,0.38,0.17
3931.0,,1.0797,1.26,1.27,1.0,1.13,1.02,0.8,0.14,-0.02
3931.0,,0.6104,0.35,0.59,0.24,0.54,0.44,0.54,-0.03,-0.1
3931.0,,0.2528,-0.77,-0.57,-0.25,0.16,0.35,0.23,0.03,0.34
3931.0,,0.0,-0.17,0.48,0.39,0.02,0.22,0.38,-0.39,0.01
3931.0,,0.2017,0.24,0.34,0.12,0.18,-0.17,-0.24,0.09,-0.36
3931.0,,0.4529,0.56,0.26,0.28,0.56,0.42,0.61,0.28,-0.11
3931.0,,0.1002,1.04,0.63,0.47,0.38,0.12,0.17,-0.24,-0.05
3931.0,,0.0,-0.1,-0.19,0.05,-0.18,0.02,0.16,0.06,0.13
3931.0,,-0.1502,-0.54,-0.51,-0.36,-0.21,-0.02,-0.15,0.05,0.02
3931.0,,0.4511,0.88,0.69,0.51,0.55,0.4,0.61,0.06,0.01
3931.0,,0.2994,0.19,0.65,0.46,0.28,0.13,-0.17,0.3,-0.32
3931.0,,-0.4478,-0.72,-0.69,-0.43,-0.22,-0.11,-0.07,-0.15,0.64
3931.0,,-0.1499,-0.31,-0.21,-0.31,-0.28,-0.21,-0.41,-0.34,-0.23
3931.0,,0.7508,0.04,0.14,0.19,0.39,0.42,0.32,0.29,-0.1
3931.0,,0.0497,0.95,0.36,0.13,-0.01,-0.28,-0.42,0.17,-0.3
3931.0,,-0.8441,-1.22,-1.04,-0.73,-0.86,-0.72,-0.87,0.16,0.18
3931.0,,0.651,0.86,0.27,0.26,0.56,0.24,0.31,0.0,-0.19
3931.0,,0.0995,0.4,0.54,0.29,0.23,0.33,0.52,-0.11,0.14
3931.0,,-0.5467,-0.73,-0.65,-0.41,-0.61,-0.74,-0.58,-0.4,-0.43
3931.0,,-0.8496,-1.55,-1.13,-0.97,-0.84,-0.32,-0.1,-0.12,0.34
3931.0,,0.9577,-0.15,0.1,0.09,0.64,0.59,0.5,0.67,0.24
3931.0,,0.1997,0.57,0.18,0.11,0.07,0.07,0.12,0.08,-0.28
3931.0,,0.5979,0.07,0.32,0.24,0.45,0.42,0.12,0.06,-0.53
3931.0,,-0.0991,-1.01,-0.89,-0.26,-0.38,-0.54,-0.41,0.05,-0.18
3931.0,,-1.4378,-2.05,-1.41,-1.1,-1.25,-1.31,-1.28,-0.05,-0.56
3931.0,,-0.2515,-0.88,-0.78,-0.73,-0.75,-0.71,-0.71,0.26,0.25
3931.0,,0.9581,1.08,0.55,0.05,1.08,0.58,0.3,0.17,-0.03
3931.0,,-1.8981,-1.55,-1.55,-0.97,-1.58,-1.5,-1.42,-0.22,-0.12
3931.0,,1.222,0.96,0.9,0.46,0.83,0.71,0.61,0.58,0.16
3931.0,,-0.2515,0.31,0.02,-0.16,0.01,-0.22,-0.14,0.14,-0.39
3931.0,,-0.6051,-1.14,-1.13,-0.72,-0.71,-0.77,-0.73,-0.16,-0.8
3931.0,,-1.725,-1.89,-1.53,-1.17,-1.52,-1.56,-1.23,-0.35,-0.34
3931.0,,0.1033,1.3,1.0,0.56,0.35,0.14,0.07,-0.25,0.13
3931.0,,1.3409,1.04,0.5,0.21,1.12,0.76,0.65,0.5,-0.68
